name	method	flag	crc	csize	usize	lho
2011-1234/000201001/1A7142BBE62751B465CAB9DD7D545979_msistub.exe	8	0	1675981041	686	2560	32909437652
2011-1234/000201016/5594B29F4AD167D0790A353A5999FB23_A0034679.exe	8	0	614386235	1437	3584	93737088370
2011-1234/000001002/3C8C60F5C424AE098DD0A1F0B234FBC4_mscorees.dll	8	0	2592012922	1669	6144	281722198176
2011-1234/000201001/16A47CE2DECC9B099349A5F840654746_beep.sys	8	0	1839494311	2663	6656	33176921138
2011-1234/000201001/103B3BBE23AB774B009D182276EC6786_loop.sys	8	0	3551368352	3354	7680	32807460328
2011-1234/000201001/216F3FA57533D98E1F74DED70113177A_RDPREFMP.sys	8	0	2980437579	2580	8192	32954912963
2011-1234/000001002/165D2E117447FCAA58E69CBA7A933C7C_dllhst3g.exe	8	0	1900531957	3755	8192	282050551561
2011-1234/000001011/EBBC1621624257F3DD0CC1C163E8680E_systray.exe	8	0	3573212029	3971	9216	282707032763
2011-1234/000001011/A8EDB86FC2A4D6D1285E4C70384AC35A_dllhost.exe	8	0	2364627645	4026	9728	282649981944
2011-1234/000001011/D0F88509B70D547897331C2BA5F0A729_HOSTNAME.EXE	8	0	2816007551	4363	9728	282648870453
2011-1234/000001011/42B6A94DD747DF2B5F628A2752E62A98_ctfmon.exe	8	0	114676243	4102	9728	282690294043
2011-1234/000001011/D5729F801DBDD00E5BF798B55E4A0DC7_dcomcnfg.exe	8	0	4246700178	4540	10240	282660791223
2011-1234/000001005/5A023FE8EB2F82B6926CFB1BEA84C1E7_help.exe	8	0	4216330813	4927	10240	105311374275
2011-1234/000001011/7F5924AF8B6338C8C7913D4C2482150B_InfDefaultInstall.exe	8	0	2909494784	4680	10240	282707027951
2011-1234/000201001/1C5319FED42F2269FD5E0918D52D405F_REGrt_Cht.dll	8	0	1972803345	5891	11048	34492621169
2011-1234/000001011/8D475192609B4C28916A394D264C9ACA_diskcopy.com	8	0	1147127565	4754	11264	282663853918
2011-1234/000001002/C19AD632B95E9D78384166BA76F47EBB_finger.exe	8	0	2812997760	5291	11264	281907765675
2011-1234/000201001/245E2DC2AA48F07ECEAB28A3FBDBC41B_spnpinst.exe	8	0	2181138486	5462	11264	32476277947
2011-1234/000201001/0C0AB3368D3E836F5C351D2E064FA275_qntmmc.sys	8	0	908678065	5151	11264	31914565569
2011-1234/000001005/519E1BB29B7165646AF08D83B9512774_md5.exe	8	0	2831893384	6229	11776	105347011865
2011-1234/000001002/4436B1A16BDC58D2B3A5263F042C09B3_chcp.com	8	0	717542474	5108	11776	282148010955
2011-1234/000001005/AF97731A0883701970A8588B2C7C28F8_GettingStarted.exe	8	0	520608660	5428	11776	105351902775
2011-1234/000001011/A28860C0ED372A14C9C99D75E1F27A60_Eap3Host.exe	8	0	2598321801	5490	11776	282659686677
2011-1234/000201001/0F7FD7BCFEB500B77CAC0BEF34C6FA67_modifyPE.exe	8	0	900153404	3900	12288	33136296970
2011-1234/000201001/05CF8EE1B245A18248A6DBD06454B1AF_breecemc.sys	8	0	640375176	5791	12288	32598687931
2011-1234/000301048/8EC740ED0E4D6EF2C669C1BEF52E588F_CLScc.exe	8	0	117184786	11026	12627	501003017
2011-1234/000001002/F17E973615D5CBB9026AF311A6D6A21A_efsui.exe	8	0	2914600081	6268	12800	281377105579
2011-1234/000001011/16760F5485D2C427E75A89D1F236BBD9_diskcopy.com	8	0	3507693851	4971	12800	282656210925
2011-1234/000201001/06BD49C2EC358EBDFD98F15246DA25B7_nsmmc.sys	8	0	3888008201	6088	12800	34446403672
2011-1234/000001011/BC67AAF5582E67EF80F2A1ED83302DF8_comrepl.exe	8	0	2489402078	6602	12800	282669234556
2011-1234/000001011/0C8C209151A45A4D7774E89C2F4079AA_chcp.com	8	0	3214076323	5204	12800	282691863018
2011-1234/000001011/4BBD4B2DCE033D0919109FC4273448A8_MRINFO.EXE	8	0	2392108087	6165	12800	282705912964
2011-1234/000201004/487AF46145B81C5BC54873E764F93636_A0001084.exe	8	0	1544930638	10623	13824	313927134024
2011-1234/000001011/5B14AC797149B7D353490AC36F17EC5B_diskcomp.com	8	0	462166957	6296	13824	282659462074
2011-1234/000201001/1957B78CADD09544A2A13928A5FB1167_qlstrmc.sys	8	0	3371882049	6363	13824	34555568791
2011-1234/000201001/1E92953DB04433D7196B66640344222D_pcwrun.exe	8	0	153462566	6426	13824	32167784263
